,name,text
0,Tiger N-Type 60TR. 355-375 Watt. Mono-Facial. All Black. (365W),"name:Tiger N-Type 60TR. 355-375 Watt. Mono-Facial. All Black. (365W);Manufacturer(brand):Jinko Solar;cell type:N-type Monocrystalline;number of cells:120;wattage:365.0;height:30mm;weight:8.62;application:Residential;product url:[Tiger N-Type 60TR. 355-375 Watt. Mono-Facial. All Black. (365W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-tiger-n-type-60tr-355-375-watt-mono-facial-all-black-365w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/4d8dfb27-0e8f-4180-b383-fe26dedfc7e4/Tiger%20N-Type%2060TR.%20355-375%20Watt.%20Mono-Facial.%20All%20Black.%20%28365W%29_img.jpg']"
1,Eagle 78TR G4b. 445-465 Watt. Tiling Ribbon Bifacial Module.  (455W),"name:Eagle 78TR G4b. 445-465 Watt. Tiling Ribbon Bifacial Module.  (455W);Manufacturer(brand):Jinko Solar;cell type:Tiling Ribbon Bifacial Module;number of cells:156;wattage:455.0;height:40mm;weight:12.02;application:Commercial;product url:[Eagle 78TR G4b. 445-465 Watt. Tiling Ribbon Bifacial Module.  (455W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-eagle-78tr-g4b-445-465-watt-tiling-ribbon-bifacial-module-455w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/8a1faab5-b323-491f-861d-db15d644a62f/Eagle%2078TR%20G4b.%20445-465%20Watt.%20Tiling%20Ribbon%20Bifacial%20Module.%20%20%28455W%29_img.jpg']"
2,Series 7 TR1- 505 - 540 Watt (530W),"name:Series 7 TR1- 505 - 540 Watt (530W);Manufacturer(brand):First Solar;cell type:Thin-film;number of cells:268;wattage:530.0;height:nanmm;weight:39.7;application:Commercial;product url:[Series 7 TR1- 505 - 540 Watt (530W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-series-7-tr1-505-540-watt-530w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/b78572b7-6ef3-46dd-a7b6-8b74d1ceb6f1/Series%207%20TR1-%20505%20-%20540%20Watt%20%28530W%29_img.jpg']"
3,RSM40-8-385MB-405MB - 385 - 405 Watt (395W) MB,"name:RSM40-8-385MB-405MB - 385 - 405 Watt (395W) MB;Manufacturer(brand):Risen Energy;cell type:Monocrystalline;number of cells:120;wattage:395.0;height:30mm;weight:22;application:Residential;product url:[RSM40-8-385MB-405MB - 385 - 405 Watt (395W) MB](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-rsm40-8-385mb-405mb-385-405-watt-395w-mb"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/85318385-e960-4a0d-8669-160836e96484/RSM40-8-385MB-405MB%20-%20385%20-%20405%20Watt%20%28395W%29%20MB_img.jpg']"
4,Eagle 66TR G4. 380-400 Watt. Tiling Ribbon Module.  (400W),"name:Eagle 66TR G4. 380-400 Watt. Tiling Ribbon Module.  (400W);Manufacturer(brand):Jinko Solar;cell type:Monocrystalline;number of cells:132;wattage:400.0;height:35mm;weight:9.75;application:Residential;product url:[Eagle 66TR G4. 380-400 Watt. Tiling Ribbon Module.  (400W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-eagle-66tr-g4-380-400-watt-tiling-ribbon-module-400w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/a0fa32b9-fbbd-4a3e-ac70-c95f9dae9dab/Eagle%2066TR%20G4.%20380-400%20Watt.%20Tiling%20Ribbon%20Module.%20%20%28400W%29_img.jpeg']"
5,REC Alpha Pure Series - 390 - 410 Watt (395W),"name:REC Alpha Pure Series - 390 - 410 Watt (395W);Manufacturer(brand):REC Solar;cell type:Half-Cell;number of cells:132;wattage:395.0;height:30mm;weight:20.5;application:Residential;product url:[REC Alpha Pure Series - 390 - 410 Watt (395W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-rec-alpha-pure-series-390-410-watt-395w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/53e15bcd-3293-4eb8-a31d-4ad053216057/REC%20Alpha%20Pure%20Series%20-%20390%20-%20410%20Watt%20%28395W%29_img.jpg']"
6,Mono 390W MBB Half-Cell Module  - 365-390 Watt (390W),"name:Mono 390W MBB Half-Cell Module  - 365-390 Watt (390W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:120;wattage:390.0;height:35mm;weight:20.5;application:Residential;product url:[Mono 390W MBB Half-Cell Module  - 365-390 Watt (390W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-mono-390w-mbb-half-cell-module-365-390-watt-390w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/f8211b2d-a992-47a1-a49f-0d8a94909a3d/Mono%20390W%20MBB%20Half-Cell%20Module%20%20-%20365-390%20Watt%20%28390W%29_img.jpg']"
7,Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (430W),"name:Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (430W);Manufacturer(brand):Jinko Solar;cell type:N-type Monocrystalline;number of cells:108;wattage:430.0;height:30mm;weight:9.98;application:Commercial;product url:[Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (430W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-tiger-neo-n-type-54hl4-v-410-430-watt-mono-facial-module-n-type-430w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/7a677735-d9f7-4306-b159-70e9b5dee69a/Tiger%20Neo%20N-type%2054HL4%20-%20%28V%29.%20410-430%20Watt.%20Mono-Facial%20Module.%20N-Type.%20%28430W%29_img.jpg']"
8,Ultra V Mini Half-cell Monofacial Module - 390 - 410 Watt (400W) Umhb,"name:Ultra V Mini Half-cell Monofacial Module - 390 - 410 Watt (400W) Umhb;Manufacturer(brand):Suntech Power;cell type:Monocrystalline;number of cells:108;wattage:400.0;height:30mm;weight:21;application:Residential;product url:[Ultra V Mini Half-cell Monofacial Module - 390 - 410 Watt (400W) Umhb](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-ultra-v-mini-half-cell-monofacial-module-390-410-watt-400w-umhb"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/9ced1700-d499-484d-9f6b-03aba8b8314d/Ultra%20V%20Mini%20Half-cell%20Monofacial%20Module%20-%20390%20-%20410%20Watt%20%28400W%29%20Umhb_img.jpg']"
9,PREMIUM FULL BLACK MONO N-TYPE SOLAR PANELS > 350-370 Watt (355W),"name:PREMIUM FULL BLACK MONO N-TYPE SOLAR PANELS > 350-370 Watt (355W);Manufacturer(brand):REC Solar;cell type:Half-Cell;number of cells:120;wattage:355.0;height:30mm;weight:20;application:Residential;product url:[PREMIUM FULL BLACK MONO N-TYPE SOLAR PANELS > 350-370 Watt (355W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-premium-full-black-mono-n-type-solar-panels-350-370-watt-355w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/96a08911-ca60-41c6-8c6f-18d8618111a6/PREMIUM%20FULL%20BLACK%20MONO%20N-TYPE%20SOLAR%20PANELS%20%3E%20350-370%20Watt%20%28355W%29_img.jpg']"
